Category,#,Task Description,Min Hours,Max Hours,Notes / Assumptions
Foundation,1,"Zoho Books org connection setup (OAuth/API scopes, verify GST registration + Karnataka CGST/SGST config in Books)",3,4,"One-time setup; assumes you already have Zoho Books admin access"
Foundation,2,"Build reusable Zoho Books integration layer (Deluge/API functions: find-or-create Customer, find-or-create Vendor, create Invoice, create Bill, create Payment Made/Received)",6,8,"Shared by all three workstreams below - do this once, not per-feature"
Foundation,3,"New field: Cash_Collected on Create_Case",1,1.5,
Foundation,4,"New field: Extras (manual entry per case)",1,1.5,
Foundation,5,"New fields: TDS_Rate / TDS_Amount / GST_Payable / GST_Paid / GST_Receipt / GST_Receipt_Date",2,3,
Foundation,6,"New field: Settlement_Status (vendor-side workflow state)",1,2,
Foundation,7,"New fields: Prebill_No / Prebill_Date / Invoice_No / Invoice_Date / Accounts_Comments (client-side)",2,3,
Foundation,8,"New Client Rate Card table + Zoho Studio schema (Client, Service, Base Fee, Base Kms, Rate/Km)",3,4,"Separate from existing Rate_Master - that one is keyed by Vehicle Type/Segment/Issue, not Client"
Foundation,9,"New Vendor Rate Card table + Zoho Studio schema (Base Fee, Base Km, Km Rate, Slab Km)",3,4,"Also separate from Rate_Master - vendor payout rate, not customer quote rate"
Foundation,10,"Reconcile new Cash_Collected/Extras/Net Fee against fields already in use (Payment_Method_Final, Payment_Status, Total_Service_Fee, Remaining_Fee, Booking_Fee) so there isn't two sources of truth for the same money",2,3,"Real analysis work - flagged as a risk area"
Foundation,11,"Decide + implement: TDS%/GST% hardcoded vs a config field",2,3,"Recommend config-driven so a future rate change doesn't need a redeploy"
Foundation,12,"Documentation: FIELDS.md/ACCESS.md updates for every new field/form/report above",2,3,
Foundation,,SUBTOTAL - Foundation,28,40,
Vendor Accounting - Level 1 (Operations Approval),13,"Build Level 1 screen: read-only Case System fields (Vendor ID, Case ID, Date & Time, Case Status, Service, Vehicle, Base Fee, Travel Kms - RSR)",3,4,
Vendor Accounting - Level 1 (Operations Approval),14,"Editable fields: Vendor Round-trip KM, Extras, Comments",1,2,
Vendor Accounting - Level 1 (Operations Approval),15,"KM Fee formula - RSR branch (ROUNDUP slab logic: km rate x ROUNDUP[(actual km - base km)/slab km])",2,3,
Vendor Accounting - Level 1 (Operations Approval),16,"KM Fee formula - TOW branch (same ROUNDUP logic, driven by Vendor Roundtrip KM instead)",2,3,
Vendor Accounting - Level 1 (Operations Approval),17,"Gross Fee / Net Fee / Balance (before TDS) calculated fields",1,2,
Vendor Accounting - Level 1 (Operations Approval),18,"""Operations Approved"" action + status transition (lock record after approval)",2,3,
Vendor Accounting - Level 1 (Operations Approval),19,"List/filter view of cases pending operations approval",2,3,
Vendor Accounting - Level 1 (Operations Approval),,SUBTOTAL - Vendor Accounting Level 1,13,20,
Vendor Accounting - Level 2 (Accounts Payable),20,"Vendor ID search + vendor name lookup + date-range period picker, filtered to Status = Payable",3,4,
Vendor Accounting - Level 2 (Accounts Payable),21,"Consolidated multi-case selection UI (bulk-select several cases for one vendor in one payment run)",3,4,
Vendor Accounting - Level 2 (Accounts Payable),22,"TDS calc (Net Fee x TDS%)",1,1,
Vendor Accounting - Level 2 (Accounts Payable),23,"Final Payable calc (Net Fee - TDS - Cash Collected)",1,1,
Vendor Accounting - Level 2 (Accounts Payable),24,"Single accounts entry (Payment Date / UTR / Amount Paid) applied across all selected cases at once",4,5,"""single entry for multiple cases"" per the spec - the trickiest UI piece in this workstream"
Vendor Accounting - Level 2 (Accounts Payable),25,"Zoho Books: create Consolidated Vendor Payment Advice (Bill) + Payment Made",4,6,
Vendor Accounting - Level 2 (Accounts Payable),26,"GST payable / GST paid calc + entry (from Vendor Table where applicable)",2,3,
Vendor Accounting - Level 2 (Accounts Payable),27,"Payment_Status calculated field (PAID / PAYABLE)",1,1,
Vendor Accounting - Level 2 (Accounts Payable),28,"Vendor statement / Vendor Portal view - vendor sees their own recorded payments, filterable by period",4,6,
Vendor Accounting - Level 2 (Accounts Payable),,SUBTOTAL - Vendor Accounting Level 2,23,31,
Client Accounting - State Machine + Level 1 (Prebilling),29,"Design + build the client-billing status field spanning: Eligible for Prebill -> Prebill Draft -> Reviewed -> Sent -> Awaiting Revert -> Approved / Revert Received -> Accounts Adjustment -> Final Approved -> Invoice Created -> Sent -> Payment Pending -> Part Paid / Paid -> TDS/GST Adjustment -> Balance = 0 -> Closed",3,4,"Decide: new field, or reuse existing Status/Closure_Status - recommend a new field, this is a separate lifecycle from the ticket's own Status"
Client Accounting - State Machine + Level 1 (Prebilling),30,"Prebilling screen: Client search + period picker, showing all cases where Prebill No. is null",3,4,
